run_id,run_date,model,vignette,temperature,slice,n_trials,mode,validity_rate,jaccard_all,jaccard_valid,modal_set_agreement,bertscore_f1,bertscore_precision,bertscore_recall,alignment_mean,alignment_n_judged,alignment_n_errors,alignment_n_skipped,alignment_pro_fallback,n_confrontation,n_self_empowerment,n_safety,n_cognitive_reframe,n_social_support,n_sensory_modulation,align_confrontation,align_self_empowerment,align_safety,align_cognitive_reframe,align_social_support,align_sensory_modulation,tier
20260730_153447_qwen35_27b_anxious,20260730,qwen35_27b,anxious,0.15,,20,fused,1.0,1.0,1.0,1.0,0.8775644302368164,0.8785951137542725,0.8765786290168762,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
20260730_153546_qwen35_27b_anxious,20260730,qwen35_27b,anxious,0.3,,20,fused,1.0,1.0,1.0,1.0,0.7841099500656128,0.7871864438056946,0.7811824083328247,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
20260730_153643_qwen35_27b_anxious,20260730,qwen35_27b,anxious,0.6,,20,fused,1.0,1.0,1.0,1.0,0.8864709138870239,0.8858755230903625,0.8870946168899536,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
20260730_153747_qwen35_27b_avoidant,20260730,qwen35_27b,avoidant,0.0,,20,fused,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
20260730_153839_qwen35_27b_avoidant,20260730,qwen35_27b,avoidant,0.075,,20,fused,1.0,1.0,1.0,1.0,0.9261896014213562,0.9272332191467285,0.9253863096237183,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
20260730_153924_qwen35_27b_avoidant,20260730,qwen35_27b,avoidant,0.15,,20,fused,1.0,1.0,1.0,1.0,0.9104138016700745,0.9059223532676697,0.9153150320053101,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
20260730_154016_qwen35_27b_avoidant,20260730,qwen35_27b,avoidant,0.3,,20,fused,1.0,1.0,1.0,1.0,0.8696900010108948,0.8685392141342163,0.8709585666656494,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
20260730_154112_qwen35_27b_avoidant,20260730,qwen35_27b,avoidant,0.6,,20,fused,1.0,1.0,1.0,1.0,0.7772635817527771,0.7760294675827026,0.7789502739906311,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
20260730_154228_qwen35_27b_cooperative,20260730,qwen35_27b,cooperative,0.0,,20,fused,1.0,1.0,1.0,1.0,0.9366782903671265,0.9341585040092468,0.9394334554672241,,0,0,0,0,0,0,20,0,0,20,,,,,,,experiment
20260730_154353_qwen35_27b_cooperative,20260730,qwen35_27b,cooperative,0.075,,20,fused,1.0,1.0,1.0,1.0,0.8772543668746948,0.8783961534500122,0.8763675689697266,,0,0,0,0,0,0,20,0,0,20,,,,,,,experiment
20260730_154501_qwen35_27b_cooperative,20260730,qwen35_27b,cooperative,0.15,,20,fused,1.0,1.0,1.0,1.0,0.9299006462097168,0.930725634098053,0.9291060566902161,,0,0,0,0,0,0,20,0,0,20,,,,,,,experiment
20260730_154556_qwen35_27b_cooperative,20260730,qwen35_27b,cooperative,0.3,,20,fused,1.0,1.0,1.0,1.0,0.9830556511878967,0.9831670522689819,0.9829453825950623,,0,0,0,0,0,0,20,0,0,20,,,,,,,experiment
20260730_154641_qwen35_27b_cooperative,20260730,qwen35_27b,cooperative,0.6,,20,fused,1.0,1.0,1.0,1.0,0.8799264430999756,0.8839666843414307,0.8760745525360107,,0,0,0,0,0,0,20,0,0,20,,,,,,,experiment
20260730_154728_qwen35_27b_resistant,20260730,qwen35_27b,resistant,0.0,,20,fused,1.0,1.0,1.0,1.0,0.9430357217788696,0.938517689704895,0.9479326605796814,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
